generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1767116740-7lrapuv3INfw6BtjwpRq,2025-12-30 17:45:40.785,0.014866,,,0,0,14861,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1755,1755,,keynew
gen-1767116738-Yv4EjK9meRiMAOh2Qfx0,2025-12-30 17:45:38.647,0.001108,,,0,0,1103,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1235,1235,,keynew
gen-1767116738-xnGoxi0HVnC1NRizLtGO,2025-12-30 17:45:38.633,0,,,0,0,30723,70,0,xiaomi/mimo-v2-flash-20251210,Xiaomi,free,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,stop,stop,2758,1883,,keynew
gen-1767116738-8PtE6SgNohicej6YeKDS,2025-12-30 17:45:38.624,0.000756,,,0,0,751,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,739,739,,keynew
gen-1767116738-PrLsTpLlyLWkEkMf3OGp,2025-12-30 17:45:38.623,0.001505,,,0,0,1500,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1005,1005,,keynew
gen-1767116738-6OdpcVibQkydNNnS7U0s,2025-12-30 17:45:38.620,0.000705,,,0,0,700,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1118,1118,,keynew
gen-1767116738-ljbyesLwDoewkg01Y27q,2025-12-30 17:45:38.589,0.000967,,,0,0,962,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1062,1062,,keynew
gen-1767116738-uc8jAdh5DGEcQYSj3wHk,2025-12-30 17:45:38.588,0.002313,,,0,0,2308,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1021,1021,,keynew
gen-1767116738-HIV92qShdHDECxyxVFNK,2025-12-30 17:45:38.586,0.002646,,,0,0,2641,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1778,1778,,keynew
gen-1767116738-4xN38P690UY6VS0YAPuP,2025-12-30 17:45:38.585,0.000597,,,0,0,592,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1098,1098,,keynew
